elapsed,tokens,decode_s,tok_s,ttft
317.0094356536865,128,3.3117693,38.650035194178535,0.0230241
320.64564633369446,128,3.3053344,38.725279959570805,0.0244835
324.4387059211731,128,3.4534311,37.06458773710586,0.0227606
328.25384283065796,128,3.4616953,36.976102431661154,0.0246946
331.929203748703,128,3.3520198,38.18593195660718,0.0244263
335.91120171546936,128,3.6168803,35.3896146355742,0.0237893
339.9141311645508,128,3.625089,35.309477919024886,0.0247062
343.5839340686798,128,3.3099185,38.671647051128296,0.0252723
347.34612584114075,128,3.4274211,37.34586333730629,0.0243408
351.2005898952484,128,3.3979262,37.67003532919579,0.0261011
354.9343419075012,128,3.4007428,37.63883584492188,0.0233107
358.84626722335815,128,3.5872118,35.682309028979,0.0234926
362.77239084243774,128,3.537101,36.18782726306091,0.0247655
366.4474997520447,128,3.3543852,38.1590045174299,0.0237005
370.20563197135925,128,3.3921869,37.73376991698187,0.0241494
374.0492630004883,128,3.5109887,36.45696723546846,0.024616
377.81131768226624,128,3.4479038,37.12400560595687,0.0255355
381.7018985748291,128,3.5513244,36.04289149141092,0.0244857
385.7710027694702,128,3.7195086,34.41314801638044,0.0235568
389.69109320640564,128,3.5860374,35.693994714054014,0.0260916
393.5761694908142,128,3.5765716,35.78846289558414,0.0237416
397.3643457889557,128,3.44952,37.10661193441406,0.0249901
401.29179191589355,128,3.5687316,35.867085101048225,0.0243978
405.3120858669281,128,3.6746945,34.83282759968209,0.0232535
409.3019132614136,128,3.6222884,35.33677771212253,0.0241714
413.0754542350769,128,3.4503845,37.097314806509246,0.0241931
416.8445599079132,128,3.4201609,37.425139852338525,0.0262007
420.7559452056885,128,3.5738739,35.815477429128094,0.0239641
424.72393345832825,128,3.5923121,35.631647929476955,0.02538
428.68254232406616,128,3.6198458,35.36062226739051,0.0237558
432.3165249824524,128,3.3026182,38.75712911652943,0.0234249
436.4874336719513,128,3.7975097,33.706299683711144,0.0256233
440.2171070575714,128,3.4003846,37.642800758478906,0.0224374
444.3008711338043,128,3.7303349,34.31327305223989,0.0237767
448.09036898612976,128,3.3820602,37.84675388096285,0.025447
452.2027180194855,128,3.7885444,33.78606305894158,0.0243144
455.8990921974182,128,3.3170828,38.58812327506567,0.023452
459.89929246902466,128,3.6020138,35.53567729251898,0.0244447
464.04955434799194,128,3.7979466,33.70242225101322,0.0243628
468.095187664032,128,3.6997951,34.596510493243265,0.0226903
472.1883022785187,128,3.7010727,34.584567874065264,0.0266458
476.36581659317017,128,3.8278782,33.438890505972736,0.0242138
480.2699279785156,128,3.519742,36.36630184826047,0.0265084
484.22205877304077,128,3.579704,35.757146400931475,0.0260533
488.1056408882141,128,3.561582,35.939085496276654,0.0246969
492.0992913246155,128,3.6218598,35.34095936016077,0.0251549
