t,phase,temp,power,sm_mhz,throttle
19.664,load,55,6.231,210,1
19.715,load,55,6.231,210,1
19.765,load,55,6.231,210,1
19.816,load,55,6.231,210,1
19.866,load,55,6.231,210,1
19.917,load,55,6.231,210,1
19.967,load,55,6.231,210,1
20.017,load,55,6.231,210,1
20.068,load,55,6.231,210,1
20.118,load,55,6.231,210,1
20.169,load,55,6.231,210,1
20.219,load,55,6.231,210,1
20.27,load,55,6.231,210,1
20.32,load,55,6.231,210,1
20.371,load,55,6.231,210,1
20.422,load,55,6.231,210,1
20.472,load,55,6.132,210,1
20.522,load,55,6.132,210,1
20.573,load,55,6.132,210,1
20.623,load,55,6.132,210,1
20.674,load,55,6.132,210,1
20.724,load,55,6.132,210,1
20.774,load,55,6.132,210,1
20.825,load,55,6.132,210,1
20.876,load,55,6.132,210,1
20.926,load,55,6.132,210,1
20.977,load,55,6.132,210,1
21.027,load,55,6.132,210,1
21.078,load,55,6.132,210,1
21.128,load,55,6.132,210,1
21.178,load,55,6.132,210,1
21.229,load,55,6.132,210,1
21.279,load,55,6.132,210,1
21.33,load,55,6.132,210,1
21.381,load,55,6.132,210,1
21.431,load,55,6.132,210,1
21.481,load,55,6.128,210,1
21.531,load,55,6.128,210,1
21.582,load,55,6.128,210,1
21.632,load,55,6.128,210,1
21.682,load,55,6.128,210,1
21.733,load,55,6.128,210,1
21.783,load,55,6.128,210,1
21.834,load,55,6.128,210,1
21.884,load,55,6.128,210,1
21.935,load,55,6.128,210,1
21.985,load,55,6.128,210,1
22.036,load,55,6.128,210,1
22.086,load,55,6.128,210,1
22.137,load,55,6.128,210,1
22.187,load,55,6.128,210,1
22.238,load,55,6.128,210,1
22.288,load,55,6.128,210,1
22.338,load,55,6.128,210,1
22.389,load,55,6.128,210,1
22.439,load,55,6.153,210,1
22.489,load,55,6.153,210,1
22.539,load,55,6.153,210,1
22.59,load,55,6.153,210,1
22.64,load,55,6.153,210,1
22.691,load,55,6.153,210,1
22.741,load,55,6.153,210,1
22.791,load,55,6.153,210,1
