ts,temp,power_w,sm_mhz,throttle
1788093735.9263148,89,33.0,720,32
1788093735.976555,89,33.0,720,32
1788093736.026689,89,33.0,720,32
1788093736.0774164,89,33.0,720,32
1788093736.1275706,89,33.0,720,32
1788093736.1779504,88,33.708,495,32
1788093736.2283223,88,33.708,495,32
1788093736.27857,88,33.708,495,32
1788093736.3289926,88,33.708,495,32
1788093736.3795767,88,33.708,495,32
1788093736.4303288,88,33.708,495,32
1788093736.480741,88,33.708,495,32
1788093736.5308897,88,33.708,495,32
1788093736.581327,88,33.708,495,32
1788093736.632031,88,31.102,772,32
1788093736.682261,88,31.102,772,32
1788093736.7326791,88,31.102,772,32
1788093736.783454,88,31.102,772,32
1788093736.8336987,88,31.102,772,32
1788093736.8841903,88,31.102,772,32
1788093736.9343762,88,31.102,772,32
1788093736.9849083,88,31.102,772,32
1788093737.0353997,88,31.102,772,32
1788093737.0859892,88,31.102,772,32
1788093737.1364527,89,32.709,1087,32
1788093737.1870794,89,32.709,1087,32
1788093737.2375364,89,32.709,1087,32
1788093737.287743,89,32.709,1087,32
1788093737.3378658,89,32.709,1087,32
1788093737.3883033,89,32.709,1087,32
1788093737.4388776,89,32.709,1087,32
1788093737.4893706,89,32.709,1087,32
1788093737.5396237,89,32.709,1087,32
1788093737.589877,89,32.709,1087,32
1788093737.6400993,89,34.641,1095,32
1788093737.6905982,89,34.641,1095,32
1788093737.741056,89,34.641,1095,32
1788093737.79146,89,34.641,1095,32
1788093737.841892,89,34.641,1095,32
1788093737.8922122,89,34.641,1095,32
1788093737.942607,89,34.641,1095,32
1788093737.9931262,89,34.641,1095,32
1788093738.0436683,89,34.641,1095,32
1788093738.0939367,89,34.641,1095,32
1788093738.144453,88,33.084,855,32
1788093738.1949656,88,33.084,855,32
1788093738.245211,88,33.084,855,32
1788093738.2957406,88,33.084,855,32
1788093738.3462825,88,33.084,855,32
1788093738.3966591,88,33.084,855,32
1788093738.4471664,88,33.084,855,32
1788093738.4977994,88,33.084,855,32
1788093738.548043,88,33.084,855,32
1788093738.5982177,88,33.084,855,32
1788093738.6488047,88,31.619,1057,32
1788093738.699143,88,31.619,1057,32
1788093738.7497416,88,31.619,1057,32
1788093738.800014,88,31.619,1057,32
1788093738.8503532,88,31.619,1057,32
1788093738.9007804,88,31.619,1057,32
1788093738.951096,88,31.619,1057,32
1788093739.0014446,88,31.619,1057,32
1788093739.051776,88,31.619,1057,32
1788093739.1021903,88,31.619,1057,32
1788093739.152554,87,29.023,1237,32
1788093739.2031653,87,29.023,1237,32
1788093739.2537646,87,29.023,1237,32
1788093739.3043861,87,29.023,1237,32
1788093739.3548336,87,29.023,1237,32
1788093739.405437,87,29.023,1237,32
1788093739.4556928,87,29.023,1237,32
1788093739.5062337,87,29.023,1237,32
1788093739.556869,87,29.023,1237,32
1788093739.6072097,87,29.023,1237,32
1788093739.6576803,89,31.382,1237,32
1788093739.7083113,89,31.382,1237,32
1788093739.7585804,89,31.382,1237,32
1788093739.8088872,89,31.382,1237,32
1788093739.8595934,89,31.382,1237,32
1788093739.9102376,89,31.382,1237,32
1788093739.9607012,89,31.382,1237,32
1788093740.0111349,89,31.382,1237,32
1788093740.0617712,89,31.382,1237,32
1788093740.1120057,89,31.382,1237,32
1788093740.1623592,89,35.405,1050,32
1788093740.2129233,89,35.405,1050,32
1788093740.2631977,89,35.405,1050,32
1788093740.3133483,89,35.405,1050,32
1788093740.3636947,89,35.405,1050,32
1788093740.4141223,89,35.405,1050,32
1788093740.4647274,89,35.405,1050,32
1788093740.515383,89,35.405,1050,32
1788093740.5657306,89,35.405,1050,32
1788093740.6161933,89,35.405,1050,32
1788093740.6665888,89,34.084,1065,32
1788093740.7169778,89,34.084,1065,32
1788093740.7673843,89,34.084,1065,32
1788093740.8179603,89,34.084,1065,32
1788093740.8684344,89,34.084,1065,32
1788093740.9188917,89,34.084,1065,32
1788093740.9692886,89,34.084,1065,32
1788093741.0196733,89,34.084,1065,32
1788093741.0700486,89,34.084,1065,32
1788093741.1203516,89,34.084,1065,32
1788093741.170788,88,33.368,1020,32
1788093741.2212129,88,33.368,1020,32
